intent,rewritten_intent,snippet,question_id
what's a good way to combinate through a set?,create a list with permutations of string 'abcd',list(powerset('abcd')),1482308
Converting from a string to boolean in Python?,Convert string to boolean from defined set of strings,"s in ['true', '1', 't', 'y', 'yes', 'yeah', 'yup', 'certainly', 'uh-huh']",715417
How do I url encode in Python?,replace special characters in url 'http://spam.com/go/' using the '%xx' escape,urllib.parse.quote('http://spam.com/go/'),5399112
How can I get the output of a matplotlib plot as an SVG?,Save plot `plt` as svg file 'test.svg',plt.savefig('test.svg'),24525111
Counting array elements in Python,count the number of elements in array `myArray`,len(myArray),187455
Python Embedding in C++ : ImportError: No module named pyfunction,insert directory './path/to/your/modules/' to current directory,"sys.path.insert(0, './path/to/your/modules/')",24492327
How to plot with x-axis at the top of the figure?,,ax.xaxis.set_ticks_position('top'),8639973
Python - Bulk Select then Insert from one DB to another,"Insert records in bulk from ""table1"" of ""master"" DB to ""table1"" of  sqlite3 `cursor` object",cursor.execute('INSERT OR REPLACE INTO master.table1 SELECT * FROM table1'),8215686
How do I use a regular expression to match a name?,Match regex '[a-zA-Z][\\w-]*\\Z' on string 'A\n',"re.match('[a-zA-Z][\\w-]*\\Z', 'A\n')",2317134
How do I use a regular expression to match a name?,match regex '[a-zA-Z][\\w-]*$' on string '!A_B',"re.match('[a-zA-Z][\\w-]*$', '!A_B')",2317134
Convert hex string to int,"Convert hex string ""deadbeef"" to integer","int('deadbeef', 16)",209513
Convert hex string to int,"Convert hex string ""a"" to integer","int('a', 16)",209513
Convert hex string to int,"Convert hex string ""0xa"" to integer","int('0xa', 16)",209513
Convert hex string to int,Convert hex string `s` to integer,"int(s, 16)",209513
Convert hex string to int,Convert hex string `hexString` to int,"int(hexString, 16)",209513
How to print variables without spaces between values,print variable `value ` without spaces,"print('Value is ""' + str(value) + '""')",28669459
How to print variables without spaces between values,Print a string `value` with string formatting,"print('Value is ""{}""'.format(value))",28669459
How do I convert an array to string using the jinja template engine?,Jinja join elements of array `tags` with space string ' ',{{tags | join(' ')}},13002848
get a list of locally installed Python modules,get a list of locally installed Python modules,help('modules'),739993
Slicing a multidimensional list,Get only first element in each of the innermost of the multidimensional list `listD`,[[[x[0]] for x in listD[i]] for i in range(len(listD))],40852575
Sort a string in lexicographic order python,Sort a string `s` in lexicographic order,"sorted(s, key=str.upper)",7371935
Sort a string in lexicographic order python,sort string `s` in lexicographic order,"sorted(sorted(s), key=str.upper)",7371935
Sort a string in lexicographic order python,"get a sorted list of the characters of string `s` in lexicographic order, with lowercase letters first","sorted(s, key=str.lower)",7371935
Compare Python Pandas DataFrames for matching rows,"find all the rows in Dataframe 'df2' that are also present in Dataframe 'df1', for the columns 'A', 'B', 'C' and 'D'.","pd.merge(df1, df2, on=['A', 'B', 'C', 'D'], how='inner')",29464234
get keys correspond to a value in dictionary,Reverse key-value pairs in a dictionary `map`,"dict((v, k) for k, v in map.items())",8650415
How to decode unicode raw literals to readable string?,decode unicode string `s` into a readable unicode literal,s.decode('unicode_escape'),6504200
What is the easiest way to convert list with str into list with int?,convert list of strings `str_list` into list of integers,[int(i) for i in str_list],2424412
What is the easiest way to convert list with str into list with int?,"convert a list with string `['1', '2', '3']` into list with integers","map(int, ['1', '2', '3'])",2424412
What is the easiest way to convert list with str into list with int?,convert list with str into list with int,"list(map(int, ['1', '2', '3']))",2424412
Python BeautifulSoup Extract specific URLs,find all anchor tags in html `soup` whose url begins with `http://www.iwashere.com`,"soup.find_all('a', href=re.compile('http://www\\.iwashere\\.com/'))",15313250
Python BeautifulSoup Extract specific URLs,find all anchors with a hyperlink that matches the pattern '^(?!(?:[a-zA-Z][a-zA-Z0-9+.-]*:|//))',"soup.find_all('a', href=re.compile('^(?!(?:[a-zA-Z][a-zA-Z0-9+.-]*:|//))'))",15313250
Python: How can I execute a jar file through a python script,execute a jar file 'Blender.jar' using subprocess,"subprocess.call(['java', '-jar', 'Blender.jar'])",7372592
How can I insert NULL data into MySQL database with Python?,insert row into mysql database with column 'column1' set to the value `value`,"cursor.execute('INSERT INTO table (`column1`) VALUES (%s)', (value,))",5507948
remove a substring from the end of a string,"remove a substring "".com"" from the end of string `url`","if url.endswith('.com'):
    url = url[:(-4)]",1038824
remove a substring from the end of a string,"remove a substring "".com"" from the end of string `url`","url = re.sub('\\.com$', '', url)",1038824
remove a substring from the end of a string,"remove a substring "".com"" from the end of string `url`","print(url.replace('.com', ''))",1038824
remove a substring from the end of a string,remove a substring `suffix` from the end of string `text`,"if (not text.endswith(suffix)):
    return text
return text[:(len(text) - len(suffix))]",1038824
Python - print tuple elements with no brackets,print each first value from a list of tuples `mytuple` with string formatting,"print(', ,'.join([str(i[0]) for i in mytuple]))",19112735
Clamping floating numbers in Python?,clamping floating number `my_value` to be between `min_value` and `max_value`,"max(min(my_value, max_value), min_value)",9775731
Splitting a string into words and punctuation,split a unicode string `text` into a list of words and punctuation characters with a regex,"re.findall('\\w+|[^\\w\\s]', text, re.UNICODE)",367155
How to execute raw SQL in SQLAlchemy-flask app,execute raw sql queue '<sql here>' in database `db` in sqlalchemy-flask app,result = db.engine.execute('<sql here>'),17972020
Is there a method that tells my program to quit?,quit program,sys.exit(0),2823472
Python - find digits in a string,get digits in string `my_string`,""""""""""""".join(c for c in my_string if c.isdigit())",12005558
python split string based on regular expression,split string `str1` on one or more spaces with a regular expression,"re.split(' +', str1)",10974932
python split string based on regular expression,,"re.findall('\\S+', str1)",10974932
Python: How to get attribute of attribute of an object with getattr?,Evaluate a nested dictionary `myobject.id.number` to get `number` if `myobject` is present with getattr,"getattr(getattr(myobject, 'id', None), 'number', None)",14925239
Convert generator object to a dictionary,convert generator object to a dictionary,{i: (i * 2) for i in range(10)},17815945
Convert generator object to a dictionary,convert generator object to a dictionary,"dict((i, i * 2) for i in range(10))",17815945
How do I tell matplotlib that I am done with a plot?,Matplotlib clear the current axes.,plt.cla(),741877
Python Convert String Literal to Float,split string `s` into float values and write sum to `total`,"total = sum(float(item) for item in s.split(','))",21212706
Python ASCII to binary,Convert ascii value 'P' to binary,bin(ord('P')),4523551
Get a string after a specific substring,"print a string after a specific substring ', ' in string `my_string `","print(my_string.split(', ', 1)[1])",12572362
Python Accessing Nested JSON Data,get value of key `post code` associated with first index of key `places` of dictionary `data`,print(data['places'][0]['post code']),23306653
Python RegEx using re.sub with multiple patterns,remove colon character surrounded by vowels letters in string `word`,"word = re.sub('([aeiou]):(([aeiou][^aeiou]*){3})$', '\\1\\2', word)",33724111
How to extract data from JSON Object in Python?,extract data field 'bar' from json object,"json.loads('{""foo"": 42, ""bar"": ""baz""}')['bar']",6407780
Convert JSON array to Python list,Convert JSON array `array` to Python object,data = json.loads(array),10973614
Convert JSON array to Python list,Convert JSON array `array` to Python object,data = json.loads(array),10973614
Parsing a tweet to extract hashtags into an array in Python,pars a string 'http://example.org/#comments' to extract hashtags into an array,"re.findall('#(\\w+)', 'http://example.org/#comments')",2527892
Python - Fastest way to check if a string contains specific characters in any of the items in a list,do a boolean check if a string `lestring` contains any of the items in list `lelist`,any(e in lestring for e in lelist),14411633
How to plot two columns of a pandas data frame using points?,,"df.plot(x='col_name_1', y='col_name_2', style='o')",17812978
Parsing HTML,Parsing HTML string `html` using BeautifulSoup,"parsed_html = BeautifulSoup(html)
print(parsed_html.body.find('div', attrs={'class': 'container', }).text)",11709079
Parsing HTML,Parsing webpage 'http://www.google.com/' using BeautifulSoup,"page = urllib.request.urlopen('http://www.google.com/')
soup = BeautifulSoup(page)",11709079
change figure size and figure format in matplotlib,change figure size to 3 by 4 in matplotlib,"plt.figure(figsize=(3, 4))",17109608
Best way to strip punctuation from a string in Python,Strip punctuation from string `s`,"s.translate(None, string.punctuation)",265960
Django urlsafe base64 decoding with decryption,django urlsafe base64 decode string `uenc` with decryption,base64.urlsafe_b64decode(uenc.encode('ascii')),2229827
Get the number of all keys in a dictionary of dictionaries in Python,get the number of all keys in the nested dictionary `dict_list`,len(dict_test) + sum(len(v) for v in dict_test.values()),35427814
Python convert decimal to hex,return the conversion of decimal `d` to hex without the '0x' prefix,hex(d).split('x')[1],5796238
converting integer to list in python,create a list containing digits of number 123 as its elements,list(str(123)),13905936
converting integer to list in python,converting integer `num` to list,[int(x) for x in str(num)],13905936
Python Mechanize select a form with no name,select a first form with no name in mechanize,br.select_form(nr=0),2582580
Python load json file with UTF-8 BOM header,Open file 'sample.json' in read mode with encoding of 'utf-8-sig',"json.load(codecs.open('sample.json', 'r', 'utf-8-sig'))",13156395
Python load json file with UTF-8 BOM header,load json file 'sample.json' with utf-8 bom header,json.loads(open('sample.json').read().decode('utf-8-sig')),13156395
Issue sending email with python?,setup a smtp mail server to `smtp.gmail.com` with port `587`,"server = smtplib.SMTP('smtp.gmail.com', 587)",12030179
Reversing bits of Python integer,revers correlating bits of integer `n`,"int('{:08b}'.format(n)[::-1], 2)",12681945
Pandas DataFrame Add column to index without resetting,add column `d` to index of dataframe `df`,"df.set_index(['d'], append=True)",11040626
Iterating over dictionaries using for loops,Iterating over a dictionary `d` using for loops,"for (key, value) in d.items():
    pass",3294889
Iterating over dictionaries using for loops,Iterating over a dictionary `d` using for loops,"for (key, value) in list(d.items()):
    pass",3294889
Iterating over dictionaries using for loops,Iterating key and items over dictionary `d`,"for (letter, number) in list(d.items()):
    pass",3294889
Iterating over dictionaries using for loops,Iterating key and items over dictionary `d`,"for (k, v) in list(d.items()):
    pass",3294889
Iterating over dictionaries using for loops,get keys and items of dictionary `d`,list(d.items()),3294889
Iterating over dictionaries using for loops,get keys and items of dictionary `d` as a list,list(d.items()),3294889
Iterating over dictionaries using for loops,Iterating key and items over dictionary `d`,"for (k, v) in list(d.items()):
    pass",3294889
Iterating over dictionaries using for loops,Iterating key and items over dictionary `d`,"for (letter, number) in list(d.items()):
    pass",3294889
Iterating over dictionaries using for loops,Iterating key and items over dictionary `d`,"for (letter, number) in list(d.items()):
    pass",3294889
How do I implement a null coalescing operator in SQLAlchemy?,query all data from table `Task` where the value of column `time_spent` is bigger than 3 hours,session.query(Task).filter(Task.time_spent > timedelta(hours=3)).all(),18102109
How do I compile a Visual Studio project from the command-line?,compile Visual Studio project `project.sln` from the command line through python,os.system('msbuild project.sln /p:Configuration=Debug'),498106
Get max key in dictionary,get max key in dictionary `MyCount`,"max(list(MyCount.keys()), key=int)",3108042
Can I use an alias to execute a program from a python script,execute command 'source .bashrc; shopt -s expand_aliases; nuke -x scriptPath' from python script,os.system('source .bashrc; shopt -s expand_aliases; nuke -x scriptPath'),6856119
How to get a function name as a string in Python?,get a name of function `my_function` as a string,my_function.__name__,251464
How to get a function name as a string in Python?,,my_function.__name__,251464
How to check if all values in the columns of a numpy matrix are the same?,check if all values in the columns of a numpy matrix `a` are same,"np.all(a == a[(0), :], axis=0)",14859458
Sorting a list of tuples by the addition of second and third element of the tuple,sort list `a` in ascending order based on the addition of the second and third elements of each tuple in it,"sorted(a, key=lambda x: (sum(x[1:3]), x[0]))",40384599
Sorting a list of tuples by the addition of second and third element of the tuple,sort a list of tuples `a` by the sum of second and third element of each tuple,"sorted(a, key=lambda x: (sum(x[1:3]), x[0]), reverse=True)",40384599
Sorting a list of tuples by the addition of second and third element of the tuple,"sorting a list of tuples `lst` by the sum of the second elements onwards, and third element of the tuple","sorted(lst, key=lambda x: (sum(x[1:]), x[0]))",40384599
Sorting a list of tuples by the addition of second and third element of the tuple,sort the list of tuples `lst` by the sum of every value except the first and by the first value in reverse order,"sorted(lst, key=lambda x: (sum(x[1:]), x[0]), reverse=True)",40384599
Add headers in a Flask app with unicode_literals,"add header 'WWWAuthenticate' in a flask app with value 'Basic realm=""test""'","response.headers['WWW-Authenticate'] = 'Basic realm=""test""'",19410585
"In Django, how do I clear a sessionkey?",clear session key 'mykey',del request.session['mykey'],2375335
Python date string to date object,convert date string '24052010' to date object in format '%d%m%Y',"datetime.datetime.strptime('24052010', '%d%m%Y').date()",2803852
Replace non-ASCII characters with a single space,Replace non-ASCII characters in string `text` with a single space,"re.sub('[^\\x00-\\x7F]+', ' ', text)",20078816
List of lists into numpy array,,"numpy.array([[1, 2], [3, 4]])",10346336
What does a for loop within a list do in Python?,Get a list `myList` from 1 to 10,myList = [i for i in range(10)],11479392
using regular expression to split string in python,use regex pattern '((.+?)\\2+)' to split string '44442(2)2(2)44',[m[0] for m in re.compile('((.+?)\\2+)').findall('44442(2)2(2)44')],40582103
using regular expression to split string in python,use regular expression '((\\d)(?:[()]*\\2*[()]*)*)' to split string `s`,"[i[0] for i in re.findall('((\\d)(?:[()]*\\2*[()]*)*)', s)]",40582103
How to remove the space between subplots in matplotlib.pyplot?,remove the space between subplots in matplotlib.pyplot,"fig.subplots_adjust(wspace=0, hspace=0)",41071947
How to reverse tuples in Python?,Reverse list `x`,x[::-1],10201977
Python JSON encoding,,"json.dumps({'apple': 'cat', 'banana': 'dog', 'pear': 'fish'})",983855
Writing List of Strings to Excel CSV File in Python,write a list of strings `row` to csv object `csvwriter`,csvwriter.writerow(row),6916542
How to convert datetime to string in python in django,Jinja2 formate date `item.date` accorto pattern 'Y M d',{{(item.date | date): 'Y M d'}},794995
Non-consuming regular expression split in Python,"Split a string `text` with comma, question mark or exclamation by non-consuming regex using look-behind","re.split('(?<=[\\.\\?!]) ', text)",5801945
UTF in Python Regex,create a regular expression object with the pattern '\xe2\x80\x93',re.compile('\xe2\x80\x93'),372102
declare an array,declare an array `variable`,variable = [],1514553
declare an array,declare an array with element 'i',intarray = array('i'),1514553
How to reverse the elements in a sublist?,"given list `to_reverse`, reverse the all sublists and the list itself",[sublist[::-1] for sublist in to_reverse[::-1]],39821166
Replace all non-alphanumeric characters in a string,,"re.sub('[^0-9a-zA-Z]+', '*', 'h^&ell`.,|o w]{+orld')",12985456
Python: unescape special characters without splitting data,"unescape special characters without splitting data in array of strings `['I ', u'<', '3s U ', u'&', ' you luvz me']`",""""""""""""".join(['I ', '<', '3s U ', '&', ' you luvz me'])",20876077
How can I disable logging while running unit tests in Python Django?,disable logging while running unit tests in python django,logging.disable(logging.CRITICAL),5255657
Adding url to mysql row in python,adding url `url` to mysql row,"cursor.execute('INSERT INTO index(url) VALUES(%s)', (url,))",13042013
Convert column of date objects in Pandas DataFrame to strings,convert column of date objects 'DateObj' in pandas dataframe `df` to strings in new column 'DateStr',df['DateStr'] = df['DateObj'].dt.strftime('%d%m%Y'),19738169
python regex get first part of an email address,split string `s` by '@' and get the first element,s.split('@')[0],15210485
Python Pandas: drop rows of a timeserie based on time range,drop rows of dataframe `df` whose index is smaller than the value of `start_remove` or bigger than the value of`end_remove`,df.query('index < @start_remove or index > @end_remove'),41513324
Python Pandas: drop rows of a timeserie based on time range,Drop the rows in pandas timeseries `df` from the row containing index `start_remove` to the row containing index `end_remove`,df.loc[(df.index < start_remove) | (df.index > end_remove)],41513324
How to count the Nan values in the column in Panda Data frame,Get the number of NaN values in each column of dataframe `df`,df.isnull().sum(),26266362
Turn Pandas Multi-Index into column,reset index of dataframe `df`so that existing index values are transferred into `df`as columns,df.reset_index(inplace=True),20110170
python getting a list of value from list of dict,generate a list containing values associated with the key 'value' of each dictionary inside list `list_of_dicts`,[x['value'] for x in list_of_dicts],7271482
python getting a list of value from list of dict,,[d['value'] for d in l],7271482
python getting a list of value from list of dict,,[d['value'] for d in l if 'value' in d],7271482
Converting NumPy array into Python List structure?,convert numpy array into python list structure,"np.array([[1, 2, 3], [4, 5, 6]]).tolist()",1966207
Converting string to tuple and adding to tuple,"converting string '(1,2,3,4)' to a tuple","ast.literal_eval('(1,2,3,4)')",3945856
How to keep a list of lists sorted as it is created,keep a list `dataList` of lists sorted as it is created by second element,dataList.sort(key=lambda x: x[1]),12324456
Python: Uniqueness for list of lists,remove duplicated items from list of lists `testdata`,"list(map(list, set(map(lambda i: tuple(i), testdata))))",3724551
Python: Uniqueness for list of lists,uniqueness for list of lists `testdata`,[list(i) for i in set(tuple(i) for i in testdata)],3724551
"In Django, how do I check if a user is in a certain group?","in django, check if a user is in a group 'Member'",return user.groups.filter(name='Member').exists(),4789021
"In Django, how do I check if a user is in a certain group?","check if a user `user` is in a group from list of groups `['group1', 'group2']`","return user.groups.filter(name__in=['group1', 'group2']).exists()",4789021
Dynamically changing log level in python without restarting the application,Change log level dynamically to 'DEBUG' without restarting the application,logging.getLogger().setLevel(logging.DEBUG),19617355
How to transform a tuple to a string of values without comma and parentheses,"Concat each values in a tuple `(34.2424, -64.2344, 76.3534, 45.2344)` to get a string",""""""""""""".join(str(i) for i in (34.2424, -64.2344, 76.3534, 45.2344))",17426386
What is the simplest way to swap char in a string with Python?,swap each pair of characters in string `s`,""""""""""""".join([s[x:x + 2][::-1] for x in range(0, len(s), 2)])",4605439
Drawing a huge graph with networkX and matplotlib,save current figure to file 'graph.png' with resolution of 1000 dpi,"plt.savefig('graph.png', dpi=1000)",9402255
delete items from list of list: pythonic way,delete items from list `my_list` if the item exist in list `to_dell`,my_list = [[x for x in sublist if x not in to_del] for sublist in my_list],41313232
Find an element in a list of tuples,find all the elements that consists value '1' in a list of tuples 'a',[item for item in a if 1 in item],2191699
Find an element in a list of tuples,find all elements in a list of tuples `a` where the first element of each tuple equals 1,[item for item in a if item[0] == 1],2191699
How can I get the index value of a list comprehension?,Get the index value in list `p_list` using enumerate in list comprehension,"{p.id: {'id': p.id, 'position': ind} for ind, p in enumerate(p_list)}",18816297
how to uniqify a list of dict in python,,[dict(y) for y in set(tuple(x.items()) for x in d)],6280978
How do I load a file into the python console?,load a file `file.py` into the python console,"exec(compile(open('file.py').read(), 'file.py', 'exec'))",5280178
Get the number of rows in table using SQLAlchemy,SQLAlchemy count the number of rows in table `Congress`,rows = session.query(Congress).count(),10822635
Execute Shell Script from python with variable,,"subprocess.call(['test.sh', str(domid)])",18742657
How to read a .xlsx file using the pandas Library in iPython?,read excel file `file_name` using pandas,"dfs = pd.read_excel(file_name, sheetname=None)",16888888
Reading hex to double-precision float python,unpack the binary data represented by the hexadecimal string '4081637ef7d0424a' to a float,"struct.unpack('d', binascii.unhexlify('4081637ef7d0424a'))",38831808
Indexing numpy array with another numpy array,Get index of numpy array `a` with another numpy array `b`,a[tuple(b)],5508352
How to find all possible sequences of elements in a list?,"find all possible sequences of elements in a list `[2, 3, 4]`","map(list, permutations([2, 3, 4]))",9040939
Sort a list in python based on another sorted list,sort a list `unsorted_list` based on another sorted list `presorted_list`,"sorted(unsorted_list, key=presorted_list.index)",36518800
How to get yesterday in python,,datetime.datetime.now() - datetime.timedelta(days=1),19779790
Creating a zero-filled pandas data frame,create a dataframe `d` filled with zeros with indices from 0 to length of `data` and column names from `feature_list`,"d = pd.DataFrame(0, index=np.arange(len(data)), columns=feature_list)",22963263
string find,find the index of sub string 'World' in `x`,x.find('World'),674764
string find,find the index of sub string 'Aloha' in `x`,x.find('Aloha'),674764
string find,find the index of sub string 'cc' in string 'sdfasdf','sdfasdf'.index('cc'),674764
string find,find the index of sub string 'df' in string 'sdfasdf','sdfasdf'.index('df'),674764
string find,find the index of sub string 'a' in string `str`,str.find('a'),674764
string find,find the index of sub string 'g' in string `str`,str.find('g'),674764
string find,find the index of sub string 's' in string `str` starting from index 11,"str.find('s', 11)",674764
string find,find the index of sub string 's' in string `str` starting from index 15,"str.find('s', 15)",674764
string find,find the index of sub string 's' in string `str` starting from index 16,"str.find('s', 16)",674764
string find,find the index of sub string 's' in string `str` starting from index 11 and ending at index 14,"str.find('s', 11, 14)",674764
Sort list of date strings,sort list of date strings 'd',"sorted(d, key=lambda x: datetime.datetime.strptime(x, '%m-%Y'))",17627531
Regular expression in Python sentence extractor,Get all the sentences from a string `text` using regex,"re.split('\\.\\s', text)",27946742
Regular expression in Python sentence extractor,,"re.split('\\.\\s', re.sub('\\.\\s*$', '', text))",27946742
Python - How to cut a string in Python?,get all characters in string 'foobar' up to the fourth index,"""""""foobar""""""[:4]",8247792
Python - How to cut a string in Python?,cut a string by delimiter '&',s.rfind('&'),8247792
Python - How to cut a string in Python?,cut a string using delimiter '&',s[:s.rfind('&')],8247792
Using a variable in xpath in Python Selenium,find a tag `option` whose `value` attribute is `state` in selenium,"driver.find_element_by_xpath(""//option[@value='"" + state + ""']"").click()",32874539
append to a file,"append line ""appended text"" to file ""test.txt""","with open('test.txt', 'a') as myfile:
    myfile.write('appended text')",4706499
append to a file,"append line ""cool beans..."" to file ""foo""","with open('foo', 'a') as f:
    f.write('cool beans...')",4706499
append to a file,append to file 'test1' content 'koko',"with open('test1', 'ab') as f:
    pass",4706499
append to a file,append to file 'test' content 'koko',"open('test', 'a+b').write('koko')",4706499
How can I split a string into tokens?,split string 'x+13.5*10x-4e1' into tokens,"print([i for i in re.split('([\\d.]+|\\W+)', 'x+13.5*10x-4e1') if i])",18312447
Python: Check if a string contains chinese character?,Find all Chinese characters in string `ipath`,"re.findall('[\u4e00-\u9fff]+', ipath)",34587346
String splitting in Python,split string `s` by letter 's',s.split('s'),13128565
How to start a background process in Python?,run shell command 'rm -r some.file' in the background,"subprocess.Popen(['rm', '-r', 'some.file'])",1196074
Elegant way to transform a list of dict into a dict of dicts,convert a list of dictionaries `listofdict into a dictionary of dictionaries,"dict((d['name'], d) for d in listofdict)",8303993
print date in a regular format,print current date and time in a regular format,datetime.datetime.now().strftime('%Y-%m-%d %H:%M'),311627
print date in a regular format,print current date and time in a regular format,time.strftime('%Y-%m-%d %H:%M'),311627
Finding consecutive consonants in a word,find consecutive consonants in a word `CONCENTRATION` using regex,"re.findall('[bcdfghjklmnpqrstvwxyz]+', 'CONCERTATION', re.IGNORECASE)",27744882
How do I get a list of indices of non zero elements in a list?,get a list of indices of non zero elements in a list `a`,"[i for i, e in enumerate(a) if e != 0]",4111412
How to get integer values from a string in Python?,get multiple integer values from a string 'string1',"map(int, re.findall('\\d+', string1))",11339210
How can I know python's path under windows?,get the path of Python executable under windows,os.path.dirname(sys.executable),647515
Moving x-axis to the top of a plot in matplotlib,move an x-axis label to the top of a plot `ax` in matplotlib,ax.xaxis.set_label_position('top'),14406214
Moving x-axis to the top of a plot in matplotlib,move x-axis to the top of a plot `ax`,ax.xaxis.tick_top(),14406214
Moving x-axis to the top of a plot in matplotlib,Move x-axis of the pyplot object `ax` to the top of a plot in matplotlib,ax.xaxis.set_ticks_position('top'),14406214
Parsing non-zero padded timestamps in Python,parse string '2015/01/01 12:12am' to DateTime object using format '%Y/%m/%d %I:%M%p',"datetime.strptime('2015/01/01 12:12am', '%Y/%m/%d %I:%M%p')",25279993
Open images,Open image 'picture.jpg',"img = Image.open('picture.jpg')
img.show()",16387069
Open images,"Open image ""picture.jpg""","img = Image.open('picture.jpg')
Img.show",16387069
How do I abort the execution of a Python script?,terminate the script using status value 0,sys.exit(0),179369
How do I abort the execution of a Python script?,abort the execution of the script using message 'aa! errors!',sys.exit('aa! errors!'),179369
How do I abort the execution of a Python script?,abort the execution of a python script,sys.exit(),179369
Find maximum with limited length in a list,find maximum with lookahead = 4 in a list `arr`,"[max(abs(x) for x in arr[i:i + 4]) for i in range(0, len(arr), 4)]",34543513
How to set the current working directory in Python?,set the current working directory to 'c:\\Users\\uname\\desktop\\python',os.chdir('c:\\Users\\uname\\desktop\\python'),1810743
How to set the current working directory in Python?,set the current working directory to path `path`,os.chdir(path),1810743
How to remove all integer values from a list in python,get a list `no_integers` of all the items in list `mylist` that are not of type `int`,"no_integers = [x for x in mylist if not isinstance(x, int)]",3159155
How do I match contents of an element in XPath (lxml)?,match contents of an element to 'Example' in xpath (lxml),"tree.xpath("".//a[text()='Example']"")[0].tag",2637760
convert dictionaries into string python,"concatenate key/value pairs in dictionary `a` with string ', ' into a single string",""""""", """""".join([(str(k) + ' ' + str(v)) for k, v in list(a.items())])",40512124
Detecting non-ascii characters in unicode string,"Strip all non-ASCII characters from a unicode string, `\xa3\u20ac\xa3\u20ac`","print(set(re.sub('[\x00-\x7f]', '', '\xa3\u20ac\xa3\u20ac')))",16866261
Detecting non-ascii characters in unicode string,Get all non-ascii characters in a unicode string `\xa3100 is worth more than \u20ac100`,"print(re.sub('[\x00-\x7f]', '', '\xa3100 is worth more than \u20ac100'))",16866261
Convert a String representation of a Dictionary to a dictionary?,"build a dict of key:value pairs from a string representation of a dict, `{'muffin' : 'lolz', 'foo' : 'kitty'}`","ast.literal_eval(""{'muffin' : 'lolz', 'foo' : 'kitty'}"")",988228
Easiest way to remove unicode representations from a string in python 3?,Print string `t` with proper unicode representations,print(t.decode('unicode_escape')),13793973
String encoding and decoding from possibly latin1 and utf8,Normalize string `str` from 'cp1252' code to 'utf-8' code,print(str.encode('cp1252').decode('utf-8').encode('cp1252').decode('utf-8')),10525301
merge lists into a list of tuples,merge lists `list_a` and `list_b` into a list of tuples,"zip(list_a, list_b)",2407398
merge lists into a list of tuples,merge lists `a` and `a` into a list of tuples,"list(zip(a, b))",2407398
python pandas dataframe to dictionary,convert pandas DataFrame `df` to a dictionary using `id` field as the key,df.set_index('id').to_dict(),18695605
python pandas dataframe to dictionary,"convert pandas dataframe `df` with fields 'id', 'value' to dictionary",df.set_index('id')['value'].to_dict(),18695605
Can I sort text by its numeric value in Python?,,"sorted(list(mydict.items()), key=lambda a: map(int, a[0].split('.')))",1534542
How can I remove text within parentheses with a regex?,remove parentheses and text within it in string `filename`,"re.sub('\\([^)]*\\)', '', filename)",640001
How can I tell if a string only contains letter AND spaces,Check if string 'a b' only contains letters and spaces,"""""""a b"""""".replace(' ', '').isalpha()",29454773
Add SUM of values of two LISTS into new LIST,sum each element `x` in list `first` with element `y` at the same index in list `second`.,"[(x + y) for x, y in zip(first, second)]",14050824
How to sort a Python dictionary by value?,sort a python dictionary `a_dict` by element `1` of the value,"sorted(list(a_dict.items()), key=lambda item: item[1][1])",11932729
How to exclude a character from a regex group?,,re.compile('[^a-zA-Z0-9-]+'),4108561
Get index of the top n values of a list in python,get index of the biggest 2 values of a list `a`,"sorted(list(range(len(a))), key=lambda i: a[i])[-2:]",13070461
Get index of the top n values of a list in python,get indexes of the largest `2` values from a list `a` using itemgetter,"zip(*sorted(enumerate(a), key=operator.itemgetter(1)))[0][-2:]",13070461
Get index of the top n values of a list in python,get the indexes of the largest `2` values from a list of integers `a`,"sorted(list(range(len(a))), key=lambda i: a[i], reverse=True)[:2]",13070461
How to get the index with the key in Python dictionary?,get index of key 'c' in dictionary `x`,list(x.keys()).index('c'),14538885
"How to print +1 in Python, as +1 (with plus sign) instead of 1?",Print +1 using format '{0:+d}',print('{0:+d}'.format(score)),8337004
Remove adjacent duplicate elements from a list,"remove adjacent duplicate elements from a list `[1, 2, 2, 3, 2, 2, 4]`","[k for k, g in itertools.groupby([1, 2, 2, 3, 2, 2, 4])]",3460161
Converting a String to List in Python,"split string ""0,1,2"" based on delimiter ','","""""""0,1,2"""""".split(',')",2168123
Converting a String to List in Python,"convert the string '0,1,2' to a list of integers","[int(x) for x in '0,1,2'.split(',')]",2168123
Python: Convert list of key-value tuples into dictionary?,"convert list of key-value tuples `[('A', 1), ('B', 2), ('C', 3)]` into dictionary","dict([('A', 1), ('B', 2), ('C', 3)])",6586310
How to write a multidimensional array to a text file?,save numpy array `x` into text file 'test.txt',"np.savetxt('test.txt', x)",3685265
How to store os.system() output in a variable or a list in python,store the output of command 'ls' in variable `direct_output`,"direct_output = subprocess.check_output('ls', shell=True)",19267591
Select everything but a list of columns from pandas dataframe,get all column name of dataframe `df` except for column 'T1_V6',df[df.columns - ['T1_V6']],32032836
How to count values in a certain range in a Numpy array?,get count of values in numpy array `a` that are between values `25` and `100`,((25 < a) & (a < 100)).sum(),9560207
how to get day name in datetime in python,Get day name from a datetime object,date.today().strftime('%A'),8380389
Python regular expression match whole word,,"re.search('\\bis\\b', your_string)",15863066
