intent,snippet
how to decode encodeuricomponent in gae (piton)?,urllib.parse.unquote('Foo%E2%84%A2%20Bar').decode('utf-8')
how to determine the order of the bars in the matplotlib bar table,plt.show()
how to use.get() in a nested dictation?,"b.get('x', {}).get('y', {}).get('z')"
"why can you tie through an implicit tuple in a loop, but not an understanding in python?",list(i for i in range(3))
how to tell if the string starts with a number?,"strg.startswith(('0', '1', '2', '3', '4', '5', '6', '7', '8', '9'))"
filter dictionary by multiple values,"filtered_dict = {k: v for k, v in my_dict.items() if not st.isdisjoint(v)}"
create a list where each element is a key value 'name' for each dictionary 'd' in the list 'thisismylist',[d['Name'] for d in thisismylist]
remove dtype at the end of the nuppy matrix,"data = np.array(data, dtype='float')"
how to replace the first appearance of a regular expression in python?,"re.sub('foo', 'bar', s, 1)"
list of all unique characters in a string?,""""""""""""".join(list(OrderedDict.fromkeys('aaabcabccd').keys()))"
"remove a substring "".com"" from the end of the chain `url`","if url.endswith('.com'):
    url = url[:(-4)]"
making a request to a rested api using python,"response = requests.post(url, data=data)"
create trusted ellipses in a sccatterplot using matplotlib,plt.show()
how to create a self-sizing button grid in tkinter?,"btn.grid(column=x, row=y, sticky=N + S + E + W)"
how to convert dictionary into string,""""""""""""".join('{}{}'.format(key, val) for key, val in sorted(adict.items()))"
as uniqify a list of dict in python,[dict(y) for y in set(tuple(x.items()) for x in d)]
python database64 decoding data,"print(open('FILE-WITH-STRING', 'rb').read().decode('base64'))"
remove anything in parentheses from the `item` string with a regex,"item = re.sub(' ?\\([^)]+\\)', '', item)"
how to find the subimage using the pil library?,"print(np.unravel_index(result.argmax(), result.shape))"
how would it go about concurrent use.futures and queues for a real-time scenario?,time.sleep(spacing)
python print key in all dictionaries,""""""", """""".join(['William', 'Shatner', 'Speaks', 'Like', 'This'])"
round 123 to 100,"int(round(123, -2))"
print a large integer with punctures with the format of mini-language python3 string,"""""""{:,}"""""".format(x).replace(',', '.')"
how can i get a python generator to return anything instead of stopiteration?,"next((i for i, v in enumerate(a) if i == 666), None)"
more efficient way to clean the string column and add a new column,"pd.concat([d1, df1], axis=1)"
sort a list of lists `s` per second and third element in each list.,"s.sort(key=operator.itemgetter(1, 2))"
python: parse string to array,"array([[0], [7], [1], [0], [4], [0], [0], [0], [0], [1], [0], [0], [0]])"
curvature curve in nuppy,"np.sqrt(tangent[:, (0)] * tangent[:, (0)] + tangent[:, (1)] * tangent[:, (1)])"
add column with groupby on hierarchical data frame,"rdf.unstack(['First', 'Third'])"
computing diffs within groups of a data frame,"df.filter(['ticker', 'date', 'value'])"
concatenation of two one-dimensional nuppy arrays,"numpy.concatenate([a, b])"
how can i select random characters in a pitonic way?,return ''.join(random.choice(char) for x in range(length))
delete groups of rows based on condition,df.groupby('A').filter(lambda g: (g.B == 123).any())
count values in the dictionary,"[k for k, v in dictA.items() if v.count('duck') > 1]"
python split string on regex,p = re.compile('(Friday\\s\\d+|Saturday)')
how to draw error bars in polar coordinates in python?,plt.show()
"locating, entering a value in a text box using selenium and python",driver.get('http://example.com')
decode chain escape sequences `mistring`,myString.decode('string_escape')
how can i use a string with the same name as an object in python to access the object itself?,locals()[x]
checking whether a datetime object in mongodb is in either utc or non-python format,v.astimezone(pytz.timezone('US/Eastern'))
python : iterate over each string in a list,"[(0, 'aba'), (1, 'xyz'), (2, 'xgx'), (3, 'dssd'), (4, 'sdjh')]"
how to preview a part of a large pandas data frame?,"df.ix[:5, :10]"
add multiple values for a key in the python dictionary,"{'2010': [2], '2009': [4, 7], '1989': [8]}"
selenium: wait until the text in the changes of webelement,"wait.until(EC.visibility_of_element_located((By.CLASS_NAME, 'searchbox')))"
select rows from the data frame based on values in the pandas column,df.loc[df['column_name'].isin(some_values)]
external product of each column of a 2d `x` matrix to form a 3d `x` matrix,"np.einsum('ij,kj->jik', X, X)"
python: how to download a zip file,f.close()
find all anchor tags in html `soup` whose url starts with `http://www.iwashere.com`,"soup.find_all('a', href=re.compile('http://www\\.iwashere\\.com/'))"
write hexadecimal data in a file,"f.write(bytes((i,)))"
how to find children of nodes using beautiful soup,"soup.find_all('li', {'class': 'test'}, recursive=False)"
return value when using cprofile,"cP.runctx('a=foo()', globals(), locales())"
"convert a list of characters `['a', 'b', 'c', 'd']` into a string",""""""""""""".join(['a', 'b', 'c', 'd'])"
open and read a file with askopenfilename,f.close()
how to implement pandas groupby filter in mixed type data?,df = df[df['Found'] == 'No Match']
how can i handle an alert with ghostdriver via python?,driver.execute_script('%s' % js)
how to remove decimal points in pandas,df.round()
rounding a number in python but keeping final zeros,"""""""{:.2f}"""""".format(round(2606.89579999999, 2))"
print the value of the truth from `a`,print(bool(a))
"drop rows whose index value in the list `[1, 3]` in dataframe `df`","df.drop(df.index[[1, 3]], inplace=True)"
removing duplicate strings from the python list,a = list(set(a))
add string at the beginning of each value in a said column of a pandas data frame (elegantly),df['col'] = 'str' + df['col'].astype(str)
get the sum of values to the power of your indices in a list `l`,"sum(j ** i for i, j in enumerate(l, 1))"
return a list of weekdays,weekdays('Wednesday')
import the python package of the script with the same name,"sys.path.insert(0, '..')"
"the difference between the use of commas, concatenation and python chain formats","print('I am printing {} and {}'.format(x, y))"
add url to mysql row in python,"cursor.execute('INSERT INTO `index`(url) VALUES(%s)', (url,))"
get a list with new line characters,"pattern = re.compile('(.)\\1?', re.IGNORECASE | re.DOTALL)"
how to install python packages in the virtual environment only with virtualenv bootstrap script?,"subprocess.call(['pip', 'install', '-E', home_dir, 'django'])"
leave the program correctly,sys.exit(0)
"extract the name of the path file, no matter what the os/path format",print(os.path.basename(your_path))
python equivalent for hashmap,my_dict = {'cheese': 'cake'}
how does a python time.struct_time object become an iso string?,"time.strftime('%Y-%m-%dT%H:%M:%SZ', timetup)"
building the python assembly of the nuppy matrix,y = set(x.flatten())
open image 'picture.jpg',"img = Image.open('picture.jpg')
img.show()"
how to add group labels for bar graphics in matplotlib?,ax.set_xticklabels(x)
dictionary of classification by numerical value,"sorted(list(tag_weight.items()), key=lambda x: int(x[1]), reverse=True)"
how can i find a process by name and kill using ctypes?,subprocess.call('taskkill /IM exename.exe')
back indexes of common elements between two arrays numpy,"numpy.nonzero(numpy.in1d(a2, a1))[0]"
find maximum value index in the matrix with numpy,x[np.where(x == 5)]
how can i format a float using the matplotlib latex form?,"ax.set_title('${0} \\times 10^{{{1}}}$'.format('3.5', '+20'))"
how do i subset a data frame using pandas based on a group criterion?,df.loc[df.groupby('User')['X'].filter(lambda x: x.sum() == 0).index]
"find minimum, maximum and average values for nested lists?","max(PlayerList, key=lambda p: max(p[1:]))[0]"
how to design code in python?,duck.quack()
dot notation chain manipulation,"re.sub('\\.[^.]+$', '', s)"
multicolumn factorization in pandas,df.drop_duplicates()
how to calculate the orientation axis?,plt.show()
communicate several times with a process without breaking the pipe?,proc.stdin.write('message2')
fill the missing value in a 'cat1' column with the value of another 'cat2' column,df['Cat1'].fillna(df['Cat2'])
how to write a lambda function that is conditional on two variables (columns) in python,"df['dummyVar '] = df['x'].where((df['x'] > 100) & (df['y'] < 50), df['y'])"
get all texts without labels of beautiful soup object `soup',""""""""""""".join(soup.findAll(text=True))"
how to find the shortest path in a weighted graph using networkx?,"nx.dijkstra_path(g, 'b', 'b', 'distance')"
delete pandas data frame column,"df.drop('column_name', axis=1, inplace=True)"
try if an array nuppy contains a given row,"equal([1, 2], a).all(axis=1)"
"how can i get values that are common to two dictionaries, even if the keys are different?",list(set(dict_a.values()) & set(dict_b.values()))
change the application icon and taskbar - python/tkinter,root.iconbitmap(default='ardulan.ico')
divide the string `s` into the last delimiter,"s.rsplit(',', 1)"
get the last day of the second month in 2012,"monthrange(2012, 2)"
is it possible to transmit the output of the python thread to the website in real time?,time.sleep(1)
convert python dictionary to json array,"json.dumps(your_data, ensure_ascii=False)"
utf-8 compression compatible in python,json.dumps({'compressedData': base64.b64encode(zString)})
print a list of integers `list_of_ints` using string format,"print(', '.join(str(x) for x in list_of_ints))"
how to replace the repeated instances of a character with a unique instance of that character in python,"re.sub('\\*+', '*', text)"
sort a list of tuples alphabetically and by value,"sorted(list_of_medals, key=lambda x: (-x[1], x[0]))"
how to modify a variable within a lambda function?,"return myFunc(lambda a, b: iadd(a, b))"
python argparse with dependencies,"parser.add_argument('host', nargs=1, help='ip address to lookup')"
average values in two nuppy arrays,"np.mean(np.array([old_set, new_set]), axis=0)"
combining two series in pandas along their index,"pd.concat([s1, s2], axis=1)"
what is a good size (in bytes) for a log file?,"RotatingFileHandler(filename, maxBytes=10 * 1024 * 1024, backupCount=5)"
force bash interpreter '/bin/bash' to be used instead of shell,"os.system('GREPDB=""echo 123""; /bin/bash -c ""$GREPDB""')"
how can i convert lf to crlf?,"txt.replace('\n', '\r\n')"
python tkinter: shows only one portion of the image,"self.canvas.create_image(0, 0, image=image1, anchor=NW)"
convert integer to binary,"map(int, bin(6)[2:])"
how to resize the legend with matplotlib.pyplot,"pyplot.legend(loc=2, fontsize='x-small')"
how to convert a datetime string to the datetime object?,"datetime.strptime('2010-11-13 10:33:54.227806', '%Y-%m-%d %H:%M:%S.%f')"
how to convert the integer value to the array of four bytes in python,"tuple(struct.pack('!I', number))"
remove items from the list `centroids` whose indexes are in the array `index ',"[element for i, element in enumerate(centroids) if i not in index]"
do function `writefunction` output nothing in curl `p`,"p.setopt(pycurl.WRITEFUNCTION, lambda x: None)"
add string in a certain position in python,s[:4] + '-' + s[4:]
python remove anything that is not a letter or number,"re.sub('[\\W_]+', '', s, flags=re.UNICODE)"
check if a string is json in python?,"print(is_json('{""age"":100 }'))"
get a list of items in the list `container` with attribute equal to `value ',items = [item for item in container if item.attribute == value]
regular expression that matches anything but a string,"res = re.findall('-(?!(?:aa|bb)-)(\\w+)(?=-)', s)"
django - correct way to load a large default value on the model,schema = models.TextField(default=get_default_json)
how to perform multiplication of elements from two lists in python?,ab = [(a[i] * b[i]) for i in range(len(a))]
python sorting - a list of objects,s.sort(key=operator.attrgetter('resultType'))
compare if an item exists in two lists,set(a).intersection(b)
how to convert numpy datetime64 to datetime,x.astype('M8[ms]').astype('O')
pandas - grouping intraday schedules by date,"df.groupby(pd.TimeGrouper('D')).transform(np.cumsum).resample('D', how='ohlc')"
how to abort the execution of a python script?,sys.exit()
python: how can i randomly select a value from a dictionary key?,"['Protein', 'Green', 'Squishy']"
how do i sort the fields of my spark row objects (piton),"rdd = sc.parallelize([(1, 2)])"
how can i fill a matplotlib grid?,"plt.plot(x, y, 'o')"
add scroll to platform game in pygame,pygame.display.update()
classification of lists in the list of `data' lists,[sorted(item) for item in data]
sorting the dictionary by the highest value of the nested list,"OrderedDict([('b', 7), ('a', 5), ('c', 3)])"
python: convert from tuple to rope?,"s += '(' + ', '.join(map(str, tup)) + ')'"
"how can i release a file in your default program, and then close it when the script ends?","subprocess.Popen('start /WAIT ' + self.file, shell=True)"
how can i get the id of an object after persisting in pymongo?,collection.remove({'_id': ObjectId('4c2fea1d289c7d837e000000')})
sort a list of tuples in such a way that grouping by key is not desired,"[(1, 2), (3, 4), (1, 3), (2, 4), (1, 4), (2, 3)]"
how to switch between python 2.7 to python 3 of the command line?,print('hello')
convert datetime object to date object to python,datetime.datetime.now().date()
how to generate a list from a pandas data frame with column name and column values?,df.values.tolist()
how can i pass a variable by reference?,"print(('after, outer_list =', outer_list))"
read text file data with missing values,"genfromtxt('missing1.dat', delimiter=',')"
how to divide a chain online breaks in python?,[row.split('\t') for row in s.splitlines()]
the creation of the dictionary of a csv file,"{'Date': ['Foo', 'Bar'], '123': ['456', '789'], 'abc': ['def', 'ghi']}"
how can i compare values in a dictionary?,"print(max(d, key=lambda x: (d[x]['salary'], d[x]['bonus'])))"
evaluate the expression '20<30',eval('20<30')
how to disable lower log-plot ticks in matplotlib?,plt.show()
copy the list `old_list` and name it `new_list`,new_list = [x[:] for x in old_list]
how to make two markers share the same label in the legend using matplotlib?,ax.set_ylabel('Temperature ($^\\circ$C)')
how to store the numerical search table in python (with tags),"{'_id': 'run_unique_identifier', 'param1': 'val1', 'param2': 'val2'}"
simple way to add a series of pandas with the same index,"pd.Series(np.concatenate([a, b]))"
turning a list of tuples into a dict in python,"{'a': [1, 2, 3], 'c': [1], 'b': [1, 2]}"
get digits in the string `my_string`,""""""""""""".join(c for c in my_string if c.isdigit())"
python access values in the list of dictionaries,[d['Name'] for d in thisismylist]
how to replace custom tabs with spaces in a string depends on the size of the tab?,"line = line.replace('\t', ' ')"
get modified time from file `file`,print(('last modified: %s' % time.ctime(os.path.getmtime(file))))
how to force os.system() to use bash instead of shell,"os.system('/bin/bash -c ""echo hello world""')"
convert list to lowercase,l = [item.lower() for item in l]
speed up the loading of binary data of 24 bits in 16 bits numpy array,"output = np.frombuffer(data, 'b').reshape(-1, 3)[:, 1:].flatten().view('i2')"
sorting a default by value in python,"sorted(list(d.items()), key=lambda k_v: k_v[1], reverse=True)"
create a list of tuples with adjacent list items if a condition is true,"[(x, y) for x, y in zip(myList, myList[1:]) if y == 9]"
how to make the shafts occupy multiple subplots with pyplot (piton),plt.show()
python how i can get the conscious time zone date in django,"localtime(now()).replace(hour=0, minute=0, second=0, microsecond=0)"
get a request parameter `a` in jinja2,{{request.args.get('a')}}
create a regular expression object with the pattern '\xe2\x80\x93',re.compile('\xe2\x80\x93')
convert pandas data frame to dictionary,df.set_index('ID').T.to_dict('list')
how can i format a float using the matplotlib latex form?,"ax.set_title('$%s \\times 10^{%s}$' % ('3.5', '+20'))"
add columns in pandas data frame dynamically,"df[[0, 2, 3]].apply(','.join, axis=1)"
can i sort the text by its numerical value in python?,"sorted(list(mydict.keys()), key=lambda a: map(int, a.split('.')))"
resample intraday pandas dataframe without adding new days,df.resample('30Min').dropna()
write a list of strings `row` to the csv `csvwriter` object,csvwriter.writerow(row)
run sql `sql` with `mydict` dictionary values as parameters,"cursor.execute(sql, list(myDict.values()))"
emptys a list `alist`,alist[:] = []
python: convert numerical data in pandas data frame to floaters in the presence of chains,"pd.read_csv(myfile.file, na_values=['na'])"
change the number of colors on the matplotlib style sheets,"plt.plot([10, 11, 12], 'y')"
regex to pair the space and chain to the forward bar,regexp = re.compile('^group/(?P<group>[^/]+)/users$')
replace the regressive bars in the `resulted` string with the empty string',"result = result.replace('\\', '')"
how to find the difference between 3 lists that can have duplicate numbers,"Counter([1, 2, 2, 2, 3]) - Counter([1, 2])"
how to open a ssh tunnel using python?,"subprocess.call(['curl', 'http://localhost:2222'])"
python regex: xor operator,pattern = '(DT\\s+)+((RB\\s+)+|(JJ\\s+)+)(NN\\s*)*NN$'
divide `s` string into floating values and write the sum to `total ',"total = sum(float(item) for item in s.split(','))"
establish a multiple index in the ‘company’ and ‘date’ columns of the ‘df’ data frame in pandas.,"df.set_index(['Company', 'date'], inplace=True)"
write multiple numpy arrays in a csv file in separate columns?,"np.savetxt('output.dat', output, delimiter=',')"
get the whole combination of 3 binary values,"lst = list(itertools.product([0, 1], repeat=3))"
passing javascript variable to server (django),user_location = request.POST.get('location')
extract dictionary from the list of dictionaries based on the value of a key.,[d for d in a if d['name'] == 'pluto']
how to publish multiple files using flask test client?,upload_files = request.files.getlist('file')
can python test multiple-value membership on a list?,"all(x in ['b', 'a', 'foo', 'bar'] for x in ['a', 'b'])"
combining rows in pandas adding their values,df.groupby(df.index).sum()
how to round wholes in python,"print(round(1123.456789, -1))"
viewing the contents of a spark data frame column,df.select('zip_code').show()
to store the file in the clipboard in python,Image('img.png').write('clipboard:')
"how to choose ""x"" number of unique numbers from a python list?","random.sample(list(range(1, 16)), 3)"
how to find help using the python console,help('modules')
"generate a random number in 1 to 7 with a given distribution [0.1, 0.05, 0.05, 0.2, 0.4, 0.2]","numpy.random.choice(numpy.arange(1, 7), p=[0.1, 0.05, 0.05, 0.2, 0.4, 0.2])"
wxpython design with sizes,"wx.Frame.__init__(self, parent)"
concatenation of two one-dimensional nuppy arrays,"numpy.concatenate((a, b))"
how to use sad with multiple elements in redis using python api?,"r.sadd('a', *set([3, 4]))"
`l` float list printing format for printing only up to 3 decimal points,"print('[' + ', '.join('%5.3f' % v for v in l) + ']')"
python backreference regex,"""""""package ([^\\s]+)\\s+is([\\s\\S]*)end\\s+(package|\\1)\\s*;"""""""
"convert the nested list of lists `[[[['tom', 'cat'], ['jerry','mouse'], ['spark', 'dog']' into a list of tuples","list(map(tuple, [['tom', 'cat'], ['jerry', 'mouse'], ['spark', 'dog']]))"
cut white space (including tabs) in `s` on the left side,s = s.lstrip()
how can i use the 'json' module to read on a json object at once?,list(json_parse(open('data')))
a reduction in the column in pandas,"pd.concat([pd.Series(initial_value), cum_growth]).reset_index(drop=True)"
hexadecimal chain to the byte matrix in python,hex_string = 'deadbeef'
divide values associated with each key in the dictionary `d1` of values associated with the same key in the dictionary `d2`,"dict((k, float(d2[k]) / d1[k]) for k in d2)"
python: how to generate a random 12 digit number?,""""""""""""".join(str(random.randint(0, 9)) for _ in range(12))"
how to sort a list of lists for the first value,l1.sort(key=lambda x: int(x[0]))
converting chain to orderly dictionary?,"OrderedDict([('last_modified', 'undefined'), ('id', '0')])"
pitonic way to get the biggest item on a list,"max_item = max(a_list, key=operator.itemgetter(1))"
remove the identifier of the set when printing the sets in python,"print(', '.join(words))"
how to correctly apply django/jinja2 'escape' and 'linebreaks' template filters?,{{my_variable | forceescape | linebreaks}}
redis: how to analyze a list result,"myredis.lpush('foo', *[1, 2, 3, 4])"
create a tuple `t` containing the first element of each tuple in tuple `s ',t = tuple(x[0] for x in s)
"get value for the parameter ""user"" in get request in django","request.GET.get('username', '')"
python regex to match several times,"pattern = re.compile('(?:review: )?(http://url.com/(\\d+))\\s?', re.IGNORECASE)"
turn the string into a list of positive and negative numbers,"tuple(map(int, inputstring.split(',')))"
recover nan value indices in a pandas data frame,s.groupby(level=0).apply(list)
matches the pattern of python extract,p = re.compile('name (.*) is valid')
"downloading an image, you want to save to the folder, check if the file exists","urllib.request.urlretrieve('http://stackoverflow.com', filename)"
extract data from the html table using python,"print(r.sub('\\1_STATUS = ""\\2""\\n\\1_TIME = \\3', content))"
how can i make a blank subplot in matplotlib?,plt.show()
"defines a list with string values `['a', 'c', 'b', 'obj']`","['a', 'c', 'b', 'obj']"
lists of concatenate `listone' and `listtwo ',(listone + listtwo)
python: how to know if two dictionaries have the same keys,set(dic1.keys()) == set(dic2.keys())
pandas: join elements with the same index,pd.DataFrame(df.groupby(level=0)['column_name'].apply(list).to_dict())
how to assemble and disassemble on windows,os.system('mount /dev/dvdrom /mount-point')
invert a list `l`,L.reverse()
find all substrings in `mystring` beginning and end with brackets,"re.findall('\\[(.*?)\\]', mystring)"
formatting text to be justified in python 3.3 with method.format(),"""""""${:.2f}"""""".format(amount)"
how can i merge two lists into a single list?,"[j for i in zip(a, b) for j in i]"
the color values in imshow for matplotlib?,plt.show()
how to strip white spaces in python without using a string method?,""""""""""""".join(str(x) for x in range(1, N + 1))"
pymongo: how to use $or operator to a column that is a matrix?,print(type(collection1.find_one()['albums'][0]))
"the string format with ""{0:d}"" does not convert to integer","print('{0}, {0:s}, {0:d}, {0:02X}, {0:f}'.format(ten))"
"convert hexagon string ""ffff"" to decimal","int('FFFF', 16)"
get all the object attributes of the object `obj`,print((obj.__dict__))
multi-index pandas selection,"df1.iloc[:, (df1.columns.get_level_values('A') == 1)]"
how to convert the nested list of lists into a list of tuples into python 3.3?,[tuple(l) for l in nested_lst]
the regular expression doesn't match anything.,re.compile('$^')
python/matplotlib - is there a way to make a discontinuous axis?,ax.spines['right'].set_visible(False)
pandas histogram of the filtered data frame,df[df.TYPE == 'SU4'].GVW.hist(bins=50)
hide the values of the axis in matplotlib,plt.show()
pycurl keeps printing in terminal,"p.setopt(pycurl.WRITEFUNCTION, lambda x: None)"
"how can i transform this (100, 100) nuppy matrix into a sprite gray scale in pygame?",pygame.display.flip()
check if all boolean values in a python dictionary `dict` are true,all(dict.values())
merge columns within a data frame that have the same name,"df.groupby(df.columns, axis=1).sum()"
telling python to save a file.txt to a certain directory in windows and mac,"os.path.join(os.path.expanduser('~'), 'Documents', completeName)"
the simple way to remove multiple spaces in the string in the python,""""""" """""".join(foo.split())"
translating an integer into two hexadecimal bytes with python,"hex(struct.unpack('>H', struct.pack('>h', -200))[0])"
how to calculate quantiles in a multiindex pandas data frame?,"df.groupby(level=[0, 1]).quantile()"
convert float to rope without scientific notation and false precision,"format(5e-10, 'f')"
python - how can i padded a chain with the spaces on the right and left?,"""""""{:*^30}"""""".format('centered')"
dates of grouping in django,return qs.values('date').annotate(Sum('amount')).order_by('date')
draw two histograms at the same time with matplotlib,plt.show()
to read only the first line of a file?,fline = open('myfile').readline().rstrip()
invert the list `array`,reversed(array)
find non-numerical rows in dataframe in pandas?,"df.applymap(lambda x: isinstance(x, (int, float)))"
inserting json into mysql using python,"db.execute('INSERT INTO json_col VALUES %s', json_value)"
python - lambda may have more than one return,"lambda a, b: (a, b)"
how do i get the current directory of the executable in py2exe?,SCRIPT_ROOT = os.path.dirname(os.path.realpath(__file__))
how to add in a json file in python?,"{'new_key': 'new_value', '67790': {'1': {'kwh': 319.4}}}"
"convert the list of key value tuples `[('a', 1), ('b', 2), ('c', 3)]` into dictionary","dict([('A', 1), ('B', 2), ('C', 3)])"
how to subtract two lists in python,"[(x1 - x2) for x1, x2 in zip(List1, List2)]"
"is there a way to perform ""if"" on python lambda?",lambda x: True if x % 2 == 0 else False
what is the easiest way to convert a list of hexagonal byte chains to a list of hexagonal integers?,"[int(x, 16) for x in ['BB', 'A7', 'F6', '9E']]"
django - access the request text from inside the custom filter,TEMPLATE_CONTEXT_PROCESSORS += 'django.core.context_processors.request'
how to draw two columns of a pandas data frame using points?,"df.plot(style=['o', 'rx'])"
pitonic form to access the arbitrary element of the dictionary,return next(iter(dictionary.values()))
how can i check if a string is valid json in python?,print(json.dumps(foo))
trying spaces in the creation of url flask,"{'south_carolina': 'SC', 'north_carolina': 'NC'}"
print a string `value` with string format,"print('Value is ""{}""'.format(value))"
type of dictionary 'd' keys based on their values,"sorted(d, key=lambda k: d[k][1])"
"matplotlib plots: removal of axes, legends and white spaces","plt.savefig('test.png', bbox_inches='tight')"
get a list of words `words` from a file'mifile',words = open('myfile').read().split()
nest a flat list based on an arbitrary criterion,"[['tie', 'hat'], ['Shoes', 'pants', 'shirt'], ['jacket']]"
sqlalchemy select column records from the table `mi_table` in addition to the current date column,"print(select([my_table, func.current_date()]).execute())"
how can i use django rest framework to send a file in response?,"return Response({'detail': 'this works', 'report': report_encoded})"
"for a dictionary `a`, set default value for the key `some keys` as list and add value `bob` in that key","a.setdefault('somekey', []).append('bob')"
get character index in the python list,"['a', 'b'].index('b')"
how to create the object of bytes of python from the long hexadecimal chain?,s.decode('hex')
using the matplotlib slider widget to change the weather in the image,plt.show()
how can i color the python logout?,logging.warn('a warning')
remove fake entries from a `hand` dictionary,"{k: v for k, v in list(hand.items()) if v}"
how can i find information about a python function?,help(function)
how can i memorize a class instance in python?,self.somevalue = somevalue
what is the shortest way to count the number of elements in a generator/iterator?,sum(1 for i in it)
django returns a list of query sets containing the values of the 'eng_name' field in the 'employee' model,"Employees.objects.values_list('eng_name', flat=True)"
print unicode string in python regardless of environment,print(s.encode('utf-8'))
how to solve dns in python?,"exec(compile(open('C:\\python\\main_menu.py').read(), 'C:\\python\\main_menu.py', 'exec'))"
python - write for excel spreadsheet,"df.to_excel('test.xlsx', sheet_name='sheet1', index=False)"
python sum of ascii values of all characters in the string,sum(ord(c) for c in string)
how can i generate a list of consecutive numbers?,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
consults all the data in the table `task` where the value of the column `time_spent' is greater than 3 hours,session.query(Task).filter(Task.time_spent > timedelta(hours=3)).all()
multiple files for an argument in argparse python 2.7,"parser.add_argument('file', nargs='*')"
find vector ordered in the numpy matrix,"(e == np.array([1, 2])).all(-1)"
convert python date format,"datetime.datetime.strptime('10/05/2012', '%d/%m/%Y').strftime('%Y-%m-%d')"
use sched module to run at a given time,time.sleep(60)
using beautifulsoup to insert an element before closing the body,"soup.body.insert(len(soup.body.contents), yourelement)"
how to combine callater and addcallback?,reactor.run()
dict de dicts de dicts a dataframe,"pd.concat(map(pd.DataFrame, iter(d.values())), keys=list(d.keys())).stack().unstack(0)"
"iterate on a pair of iterables, sorted by an attribute","sorted(chain(a, b), key=lambda x: x.name)"
python: import subdirectory file,__init__.py
the creation of the pandas data frame of the dictionary,pd.DataFrame([record_1])
how to actually upload a file using flask wtf filefield,"file.save(os.path.join(app.config['UPLOAD_FOLDER'], filename))"
typeerror: a string pattern cannot be used in a byte-like object,print(json.loads(line.decode()))
understanding the list replace for loop in matrix 2d,Cordi1 = [[int(i) for i in line.split()] for line in data]
"format the current date and time to a string using the pattern ""%y-%m-%d %h:%m:%s""",datetime.datetime.now().strftime('%Y-%m-%d %H:%M:%S')
write a string of 1's and 0's to a binary file?,"int('00100101', 2)"
how can i use a nested name such as the __getitem__ index of the previous iterable in the understandings of the list?,[x for i in range(len(l)) for x in l[i]]
join the list of floaters in the chain separated by the python space,"print(' '.join(map(str, a)))"
python: use regular expression to remove white space from all lines,"re.sub('(?m)^[^\\S\\n]+', '', '  a\n b\n c\nd  e')"
get the first element of each tuple from a list of tuples `g`,[x[0] for x in G]
how to set environment variables in python,print(os.environ['DEBUSSY'])
"python, encoding output to utf-8",s.encode('utf8')
can i get a list of variables that refer to another in python 2.7?,"['a', 'c', 'b', 'obj']"
application of google diffmatchpatch api for python 2/3,"[(0, 's'), (-1, 'tackoverflow is'), (1, 'o is very'), (0, ' cool')]"
pandas groupby: how to get a rope union,df.groupby('A').apply(lambda x: x.sum())
how to limit the x-axis range with imshow()?,"ax1.set_xticks([int(j) for j in range(-4, 5)])"
python a line save list values in dict to list,list(itertools.chain.from_iterable(list(d.values())))
get unique values from the python list,"a = ['a', 'b', 'c', 'd', 'b']"
perform an inverse cumulative sum on the nuppy matrix,np.cumsum(x[::-1])[::-1]
print a rational number `3/2`,print('\n\x1b[4m' + '3' + '\x1b[0m' + '\n2')
sqlalchemy: filter by membership in at least one table related to many,"session.query(ZKUser).filter(ZKUser.groups.any(ZKGroup.id.in_([1, 2, 3])))"
checking the list for the sequence,set(L[:4])
the lowercase dictionary in python,"dict((k.lower(), v) for k, v in {'My Key': 'My Value'}.items())"
divide the list `l` into `n'sized lists,"[l[i:i + n] for i in range(0, len(l), n)]"
convert the binary string '\x00\x00\x80?\x00\x00\x00\x00\x00\x00\x80@' to the numpy matrix,"np.fromstring('\x00\x00\x80?\x00\x00\x00@\x00\x00@@\x00\x00\x80@', dtype='<f4')"
how to write unicode strings in a file?,f.write('\u5e73\u621015')
get the execution time of a code block in python 2.7,time.sleep(1)
faster way to store large files in python,"gzip.GzipFile('output file name', 'wb')"
multivalordictkeyerror in django,"request.GET.get('username', '')"
"analyze a comma separated string number '1,000,000' in int","int('1,000,000'.replace(',', ''))"
read a rerouted stdin file and save to variable `result`,result = sys.stdin.read()
how can i add a method with a decorator to a class in python?,MyClass().mymethod()
print letters in specific pattern in python,""""""""""""".join(i[1:] * int(i[0]) if i[0].isdigit() else i for i in l)"
convert the pandas data frame to a nested dict,df.to_dict()
the execution of a c program in python?,"call(['./spa', 'args', 'to', 'spa'])"
python: split string by list of separators,"re.split('\\s*,\\s*|\\s*;\\s*', 'a , b; cdf')"
how do i sort the fields of my spark row objects (piton),"sc.parallelize([Row(foo=1, bar=2)]).toDF().select('foo', 'bar')"
in pandas how can i convert a string of date strings to datetime objects and put them in a data frame?,pd.to_datetime(pd.Series(date_stngs))
check if there is a key in the python list,"test(['important', 'comment', 'bar'])"
style with classes in pyside + python,self.show()
how to include third-party python libraries in google's application engine?,"sys.path.insert(0, 'libs')"
how can i go through a file system with a generator?,"print(os.path.join(root, name))"
