intent,snippet
how to get field names when running plain sql query in django,row = cursor.fetchone()
how to find out two lists with same structure in python?,"for i in range(len(a)):
    if not same_structure(a[i], b[i]):
        pass"
ordering and pagination in sql-alchemy using non-sql ranking,"post_ids = [3, 4, 1]"
create launchable gui script from python setuptools (without console window!),"if group == 'gui_scripts':
    ext, launcher = '-script.pyw', 'gui.exe'"
nested python class needs to access variable in enclosing class,"attributes = [n for n in directory if not callable(getattr(cls, n))]"
'pipelinedrdd' object has no attribute 'todf' in pyspark,"hasattr(rdd, 'toDF')
rdd.toDF().show()"
python: count occurrences in a list using dict comprehension/generator,"words.sort()
dct = {k: sum(1 for _ in g) for k, g in groupby(words)}"
pyinstaller: 2 instances of my cherrypy app exe get executed,autoreload.on = False
reading arabic text encoded in utf-8 in python,print(line)
merging two dictionaries of lists with the same keys in python,assert list(a.keys()) == list(b.keys())
how do i add my own custom attributes to existing built-in python types? like a string?,print(''.my_method())
pull from a list in a dict using mongoengine,"Mydoc.objects(item_number=1).update_one(__raw__={'$pull': {'x.mongo': {
    'list': 'listc'}}})"
sorting list of string with specific locale in python,random.shuffle(a_list)
most pythonic way of counting matching elements in something iterable,v[i] += 1
"map list of tuples into a dictionary, python","myDict = defaultdict(int)
for item in myTupleList:
    myDict[item[1]] += item[2]"
how to upload an image with python-tornado from an html form?,file_body = self.request.files['filefieldname'][0]['body']
finding median of list in python,"def median(lst):
    lst = sorted(lst)
if len(lst) < 1:
    return None
if len(lst) % 2 == 1:
    return lst[(len(lst) + 1) / 2 - 1]
else:
    return float(sum(lst[len(lst) / 2 - 1:len(lst) / 2 + 1])) / 2.0"
python lambda problems,"funcs.append(lambda x, i=i: f(i, x))"
how to divide a tuple into two in pythonic way,"for x in tup:
    di.setdefault(Number if isinstance(x, Number) else str if isinstance(x,
        str) else object, []).append(x)
di[str], di[Number]"
python - grouping defaultdict values by hamming distance in keys,"def unpack_key(key):
    data = key.split('_')"
python: how to check if optional argument can be used?,"def myfunc(**kwargs):
    print(list(kwargs.items()))"
how can i iterate over only the first variable of a tuple,"a = 1, 2, 3, 4
b, _, _, c = a"
pandas pivot tables row subtotals,"import pandas as pd
import io
incsv = io.StringIO(
    """"""Date,State,City,SalesToday,SalesMTD,SalesYTD
20130320,stA,ctA,20,400,1000
20130320,stA,ctB,30,500,1100
20130320,stB,ctC,10,500,900
20130320,stB,ctD,40,200,1300
20130320,stC,ctF,30,300,800""""""
    )"
how to send data with twisted protocol via factory,"reactor.connectTCP(host, port, factory)"
matplotlib bar chart with data frame row names as legend,"ax.legend(loc='best', frameon=False)
ax.margins(0.05)
ax.set_ylim(bottom=0)
ax.patch.set_facecolor('0.9')
ax.grid(color='white', linestyle='-')
ax.set(axisbelow=True, xticklabels=[])
plt.show()"
post request using python to asp.net page,"eventvalidation = soup.select('#__EVENTVALIDATION')[0]['value']
formData = ('__EVENTVALIDATION', eventvalidation), ('__VIEWSTATE', viewstate
    ), ('__VIEWSTATEENCRYPTED', ''), ('txt_offname', ''), ('ddl_dist', '0'), (
    'txt_dist_on', ''), ('ddl_state', '1'), ('btn_state', 'Search'), (
    'txt_stateon', ''), ('hdn_tabchoice', '1'), ('search_on', 'Search')
encodedFields = urllib.parse.urlencode(formData)
f = myopener.open(url, encodedFields)
try:
    fout = open('tmp.html', 'w')
except:
    print('Could not open output file\n')
fout.writelines(f.readlines())
fout.close()"
using python to execute a command on every file in a folder,"for filename in os.listdir('dirname'):
    callthecommandhere(blablahbla, filename, foo)"
"displaying numbers with ""x"" instead of ""e"" scientific notation in matplotlib","plt.text(0.01, 0.23, '$a = {0:s}$'.format(as_si(a, 2)), size=20)"
python regex pattern max length in re.compile?,stopstring = '|'.join(stop_list)
python logging string formatting,"return '[%s] %s' % (a.ljust(self.width), record.msg)
if __name__ == '__main__':
    logger = logging.getLogger('simple_example')
logger.setLevel(logging.DEBUG)
ch = logging.StreamHandler()
ch.setLevel(logging.DEBUG)
formatter = MyFormatter()
ch.setFormatter(formatter)
logger.addHandler(ch)
logger.debug('No one expects the spammish repetition')"
having both single and double quotation in a python string,""""""" This 'string' contains ""both"" types of quote """"""
"""""" So ' does "" this """""""
is there a python module to open spss files?,"import pandas.rpy.common as com
filename = 'weights.sav'"
sort by last name,"l = ['John Fine', 'Doug Biro', 'Jo Ann Alfred']"
"tensorflow: ""attempting to use uninitialized value"" in variable initialization",parameters = []
nltk - automatically translating similar words,"great = wn.synsets('great', 'a')[0]"
schedule number of web dynos by time of day,"import sys
import heroku"
labelling a matplotlib histogram bin with an arrow,"series = pd.Series(np.random.normal(0, 100, 1000))
series.plot(kind='hist', bins=50, ax=ax)
ax.annotate('', xy=(300, 5), xycoords='data', xytext=(300, 20), textcoords=
    'data', arrowprops=dict(arrowstyle='->', connectionstyle='arc3'))"
struggling with slice syntax to join list element of a part of a list,"a
a[1:3] = [4, 5, 6]"
fastest way to count array values above a threshold in numpy,length = arr_view.shape[0]
"image embossing in python with pil -- adding depth, azimuth, etc","h = [[1, 0, 0][0, 0, 0][0, 0, -1]]"
simplest way to return an array that is nested in multiple arrays,import numpy as np
a list > a list of lists,"l = ['1', 'a', 'b', '---', '2', 'c', 'd', '---', '3', '123', 'e', '---', '4']
r = []
i = iter(l)
while True:
    a = [x for x in itertools.takewhile(lambda x: x != '---', i)]
if not a:
    break
r.append(a)
print(r)"
identifying that a variable is a new-style class in python?,"def is_new_style(cls):
    return hasattr(cls, '__class__') and ('__dict__' in dir(cls) or hasattr
        (cls, '__slots__'))


class new_style(object):
    pass


class old_style:
    pass
print(is_new_style(int))
print(is_new_style(new_style))
print(is_new_style(old_style))"
"single django model, multiple tables?","MyModel._meta.db_table = '10293847_table'
MyModel.objects.all()"
find the dot product of sub-arrays in numpy,"Z1 = matrix_multiply(X, Y)"
increment numpy array with repeated indices,"b = np.array([99999, 99997, 99999])
blo, bhi = b.min(), b.max()
bbins = np.bincount(b - blo)
a[blo:bhi + 1] += bbins
print(a[blo:bhi + 1])"
how do you set up a flask application with sqlalchemy for testing?,"app.config.from_pyfile(config, silent=True)"
tkinter label: how do i know that the text is too long for it?,height = default_font.metrics('linespace')
how to compare surf features in python opencv2.4,"idx1 = np.arange(len(desc1))
pairs = np.int32(zip(idx1, idx2[:, (0)]))"
resampling a numpy array representing an image,"data = np.arange(27).reshape(3, 3, 3)"
terminate importation of module non-fatally?,self.module = locals
pickle versus shelve storing large dictionaries in python,myShelve.close()
how do i make 'import x' return a subclass of types.moduletype?,print(type(foo))
perform a reverse cumulative sum on a numpy array,"cumsum = lambda a: [sum(a[:i + 1]) for i, x in enumerate(a)]
print(reverse(array))"
downloading a picture via urllib and python,"import urllib.request, urllib.parse, urllib.error
f = open('00000001.jpg', 'wb')
f.write(urllib.request.urlopen('http://www.gunnerkrigg.com//comics/00000001.jpg').
    read())
f.close()"
simulating relational data (or a database) in python?,"db = create_engine('sqlite:///tutorial.db')
metadata = BoundMetaData(db)"
go subprocess communication,"""""""log"""""""
number of nodes in a balanced tree,"return {1, 0, 0}"
switch in python,"func = switch_dict[switch_var]
result = func()"
convert python exception information to string for logging,"import sys
import traceback"
parse json in python,"json_data.close()
print('Dimension: ', data['cubes'][cube]['dim'])
print('Measures:  ', data['cubes'][cube]['meas'])"
static properties in python,"class MyClass:
    pass"
how to fold/accumulate a numpy matrix product (dot)?,"Sz = np.array([[1.0, 0], [0, -1]])
print(np.einsum('ij,jk,kl', S0, Sx, Sz))
einsum_py.myeinsum('ij,jk,kl', S0, Sx, Sz, debug=True)
""""""
{'max_label': 108, 'min_label': 105, 'nop': 3, 
 'shapes': [(2, 2), (2, 2), (2, 2)], 
 'strides': [(16, 8), (16, 8), (16, 8)], 
 'ndim_broadcast': 0, 'ndims': [2, 2, 2], 'num_labels': 4,
 ....
 op_axes [[0, -1, 1, -1], [-1, -1, 0, 1], [-1, 1, -1, 0], [0, 1, -1, -1]]
""""""
op_axes = [[0, -1, 1, -1], [-1, -1, 0, 1], [-1, 1, -1, 0], [0, 1, -1, -1]]
w = sop.sum_product_cy3([S0, Sx, Sz], op_axes)
print(w)"
gevent to tornado ioloop - structure code with coroutines/generators,manager.ioloop.IOLoop.instance()
how to create a manhattan plot with matplotlib in python?,"ax.set_xlim([0, len(df)])"
right outer join in sqlalchemy,"session.query(Beard, Moustache).select_entity_from(stmt)"
pandas compare next row,"df['qty_s'] = df['qty'].shift(-1)
df['t_s'] = df['t'].shift(-1)
df['z_s'] = df['z'].shift(-1)"
two python modules require each other's contents - can that work?,"import webbrowser

def open_example():
    pass"
how does this function to remove duplicate characters from a string in python work?,"a
b
c
d"
"python: using scikit-learn to predict, gives blank predictions","classifier = classifier.fit(X_train, y_train)
predicted = classifier.predict(X_test)"
integration with sympy,"from sympy import *
x = sym.Symbol('x')
expr = (x + 3) ** 5
integrate(expr, manual=True)"
how to make some django settings accessible by staff?,"cache.set('settings', local_settings)
cache.add('settings', local_settings)
local_settings = cache.get('settings')"
argparse argument order,"parser.add_argument('--optional1')
parser.add_argument('positionals', nargs='+')"
plot normal distribution with matplotlib,"plt.plot(h, pdf)"
how to read stdin to a 2d python array of integers?,stdin = StringIO('1 2\n3 4\n5 6')
merging background with transparent image in pil,"foreground = Image.new('RGB', (100, 100), (255, 0, 0))
mask = Image.new('L', (100, 100), 0)
draw = ImageDraw.Draw(mask)
for i in range(5, 100, 10):
    draw.line((i, 0, i, 100), fill=random.randrange(256))
draw.line((0, i, 100, i), fill=random.randrange(256))
result = Image.composite(background, foreground, mask)"
combinatorial explosion while merging dataframes in pandas,raise Exception('Combinatorial explosion! (boom)')
"in python, what is the easiest way to add a list consisting of keyword pairs to a dictionary?","with open('test.csv', 'r') as f:
    for row in f:
        for e in row.rstrip('\n').split(', '):
            print(e)
k, v = e.split(':')
changes.setdefault(k, []).append(v)
print(changes)"
access private variables in injected method - python,-10
sort a numpy array like a table,indices = np.argsort(subarray)
how do i set up a daemon with python-daemon?,logger.debug('this is a DEBUG message')
matplotlib showing x-tick labels overlapping despite best efforts,ax = axes.flatten()[i]
how can i set a users password in linux from a python script?,"proc.stdin.write('password\n')
proc.stdin.write('password')"
fit a monotonic curve (preferably in python),Xfit_mono_ind[len_mono] = iX
selecting the first index after a certain timestamp with a pandas timeseries,l.append(8)
"slicing a list using a variable, in python","i = 2
j = 4"
c malloc array pointer return in cython,"a = np.zeros(n * n, dtype=np.complex128)"
testing equivalence of mathematical expressions in python,return str
python file modes detail,"PyErr_SetString(PyExc_ValueError,
    'Must have exactly one of read/write/append mode')"
how to combine the data from many data frames into a single data frame with an array as the data values,"array([2, 4])
array([5, 7])"
"how to generate tcp,ip and udp packets in python?","PORT = 80
s = socket.socket(socket.AF_INET, socket.SOCK_STREAM)"
a good way to get the charset/encoding of an http response in python,"from bs4 import BeautifulSoup
soup = BeautifulSoup(urllib.request.urlopen(url))"
python: check if an numpy array contains any element of another array,"np.any(np.in1d(a1, a2))"
create list of object attributes in python,"list_of_objects = [Object_1, Object_2, Object_3]"
how can i search a list in python and print at which location(s) in that list my criteria is located?,"newNums = (i for i, x in enumerate(nums) if x == 12)"
"page number in pdf converted from html - pdfkit, python/django","pdfkit.from_string('Hello World', 'out.pdf', options=options)"
in tkinter is there any way to make a widget not visible? ,root.mainloop()
python: how can i execute bat file in new cmd window?,p = Popen('cmd.exe /k start a.bat')
how can i change the linecolor if y-value changes,ny.append(y[-1])
how to make a python decorator function in flask with arguments (for authorization),"return update_wrapper(wrapped_function, fn)"
convert enum to int in python,"nat = Nationalities('PL', 'FR', 'DE')
print(nat.Poland)
print(nat.index(nat.Germany))"
how is python storing strings so that the 'is' operator works on literals?,"c += 'a'
print(id(a))
print(id(b))
print(id(c))"
django how to use manyrelatedmanager,pizzas_bought = models.ManyToManyField(related_name='pizzas')
python - access class variable from instance,"def method1(self):
    RLCN.static_var += 1

def method2(self):
    self.static_var += 1
rlcn = RLCN()
RLCN.static_var, rlcn.static_var
rlcn.static_var
rlcn.method1()
RLCN.static_var, rlcn.static_var
rlcn.method2()
RLCN.static_var, rlcn.static_var"
python: finding a trend in a set of numbers,Sx = Sx + x
python: how to check if keys exists and retrieve value from dictionary in descending priority,break
finding the maximum of a function,"x = Symbol('x', real=True)
f = -2 * x ** 2 + 4 * x
fprime = f.diff(x)
fprime
solve(fprime, x)"
how can i include a python package with hadoop streaming job?,"import zipimport
importer = zipimport.zipimporter('nltkandyaml.mod')
yaml = importer.load_module('yaml')
nltk = importer.load_module('nltk')"
filtering a list of strings based on contents,"l = ['a', 'ab', 'abc', 'bac']
result = []
for s in l:
    if 'ab' in s:
        result.append(s)"
read file from line 2 or skip header row,"with open(fname) as f:
    pass"
how to pass soap headers into python suds that are not defined in wsdl file,speed = client.factory.create('ns4:PTZSpeed')
modifying a subset of rows in a pandas dataframe,"df.ix[df.A == 0, 'B'] = np.nan"
gdb pretty printing with python a recursive structure,return boxstringprinter(value)
create a series of tuples using a for loop,"lines = []
for line in inFile:
    lines.append(line)"
numpy: how to randomly split/select an matrix into n-different matrices,np.random.shuffle(data)
python inspect module: keyword only args,"max(arg1, arg2, arg3, key=lambda x: -x)"
parsing html5 data-* attribute values with selenium in python,"for element in elements:
    pass"
how to filter by sub-level index in pandas,"x[x.RPT_Date.str.endswith('0630')].set_index(['STK_ID', 'RPT_Date'])"
how do i wrap a string in a file in python?,"with io.StringIO() as f:
    pass"
rounded division by power of 2,"def scale(x, power2=16):
    divider = float(1 << power2)
result = round(x / divider)"
how to remove an extension to a blob caused by morphology,"for i in range(4):
    pass"
using lxml to parse namepaced html?,"print(link.attrib.get('title', 'No title'))"
django modelform with extra fields that are not in the model,"class Meta:
    model = User"
how to query an advanced search with google customsearch api?,"res = service.cse().list(q=search_term, cx=cse_id, **kwargs).execute()"
formatting string into datetime using pandas - trouble with directives,"fourth_jan = datetime.date(iso_year, 1, 4)"
unlucky number 13,print(ans(1000000000))
how can i parse javascript variables using python?,"y = data.find(';', x)"
pandas hdfstore - how to reopen?,"with pd.HDFStore('test.h5', mode='r') as newstore:
    pass"
drop all duplicate rows in python pandas,"print(pd.concat([DG.get_group(item) for item, value in list(DG.groups.items()) if
    len(value) == 1]))"
how do i use static keyword inside class in c++ to emulate the behavior of @classmethod in python?,c2.say_my_name()
integer square root in python,gmpy2.isqrt((10 ** 100 + 1) ** 2 - 1)
how to implement ssdp / upnp? trying to use sony's camera api,import sys
make requests using python over tor,"print(requests.get(url, proxies=proxies).text)"
"in python scipting, how do i capture output from subprocess.call to a file","subprocess.call(['dir', 'c:\\temp'], shell=True, stdout=f)
f.close()"
matplotlib in pyside with qt designer (pyside),matplotlib.use('Qt4Agg')
printing in a pyramid pattern in python,"print('\n'.join([''.join(['{}'.format(i) for i in range(1, j)]) for j in
    range(2, 6)]))"
how to count all positive and negative values in a pandas groupby?,df.groupby('A').C_sign.value_counts()
how to change marker border width and hatch width?,plt.subplot(121)
efficient array replacement in python,"for row in data:
    pass"
"in python, how do i decode gzip encoding?","data2 = GzipFile('', 'r', 0, StringIO(data)).read()"
how to extract a subset of a colormap as a new colormap in matplotlib?,from matplotlib.colors import LinearSegmentedColormap
make 2d numpy array from coordinates,"out = np.zeros((Y_idx.max() + 1, X_idx.max() + 1))
out[Y_idx, X_idx] = Z
return out"
python product of infinite generators,"print(next(product(count(1), count(1))))
1, 1"
how can i create stacked line graph with matplotlib?,"plot(x, y2s)"
python dryscrape scrape page with cookies,"name.set('<login>')
password = session.at_xpath('//*[@name=""password""]')
password.set('<password>')
name.form().submit()
session.visit('<url to visit with proper cookies>')"
format all elements of a list,"def format(l):
    pass"
matplotlib fill beetwen multiple lines,"plt.fill_between(X, Y1, Y3, color='y', alpha=0.5)"
after executing a command by python paramiko how could i save result?,stdin.flush()
python: getting a traceback from a multiprocessing.process,"try:
    return functor()
except:
    raise Exception(''.join(traceback.format_exception(*sys.exc_info())))"
latex citation in matplotlib legend,"plt.plot(x, y, label='Data \\cite{<key>}')"
how do i get a list of column names from a psycopg2 cursor?,data_rows = []
"python ""import datetime"" v.s. ""from datetime import datetime""","from datetime import datetime, date"
finding the nearest value and return the index of array in python,right = A[idx]
python: find all sets of numbers inside a range where each set contains values that are x distance apart and don't exceed the range,"if so_far is None:
    pass"
looking for inverse of url_for in flask,"owner_url_rule, owner_view_args = match('/users/21414512')
tenant_url_rule, tenant_view_args = match('/users/16324642')"
"encrypt in php, decrypt in python","decoded = base64.b64decode(plain)
decrypted = crypt_object.decrypt(decoded)"
pickle - putting more than 1 object in a file?,"f = open('example', 'w')
pickle.dump(['hello', 'world'], f)
pickle.dump([2, 3], f)
f.close()
f = open('example', 'r')
value1 = pickle.load(f)
value2 = pickle.load(f)
f.close()"
improving efficiency of reading a large csv file,"def chunk_file(file_name):
    chunk_start = 0"
how would i check a string for a certain letter in python?,print('Yes!')
how to know where an object was instantiated in python?,trace_call()
how do i get more than 10 entries from users or interests using mailchimp api 3.0?,"'http://us4.api.mailchimp.com/3.0/lists/0000000000/interest-categories/',"
how can i read inputs as integers in python?,"data = eval(input('Enter a number: '))
data, type(data)"
how to use template inheritance with chameleon?,"def layout(self):
    pass"
get parent user after sudo with python,"import os
if 'SUDO_USER' in os.environ:
    pass"
summation of elements of dictionary that are list of lists,"d = {'a': [[1, 2, 3], [1, 2, 3]], 'b': [[2, 4, 1], [1, 6, 1]]}
{k: map(sum, zip(*v)) for k, v in list(d.items())}"
speed-improvement on large pandas read_csv with datetime index,"out_ar[i] = pd.Timestamp(datetime.datetime.combine(date, time))"
python - how can i make this code asynchronous?,from twisted.internet import reactor
importing the entire python standard library,import math
how to trim spaces within timestamps using 'm/d/yy' format,""""""" Hello World """""".strip()"
xml writing tools for python,w.data('.')
how do i use method overloading in python?,ob.stackoverflow(2)
what happens in degenerate case of multiple assignment?,"A[0] = previous_A[1]
A[1] = previous_A[1]"
change django templates based on user-agent,"'yourproj.middleware.MobileMiddleware',"
python - best way to set a column in a 2d array to a specific value,"for row in range(rows):
    data[row][set_col] = val"
how to specify uniqueness for a tuple of field in a django model,"unique_together = 'field1', 'field2'"
timing block of code in python without putting it in a function,"print('%s: %0.2f seconds elapsed' % (title, t2 - t1))"
python nltk keyword extraction from sentence,"def filter_stop_words(pos_list):
    return [[token, token_type] for token, token_type in pos_list if token.
        lower() not in stop_words[token_type]]"
counting occurrences in a python list,"x = collections.Counter(l)
print(x.most_common())"
cases where use of tuple is a must,{}[tuple()] = 1
issue parsing multiline json file using python,"import json
with open('test.json', 'r') as jf:
    weatherData = json.load(jf)
print(weatherData)"
world map without rivers with matplotlib / basemap?,"m = Basemap(resolution='c', projection='robin', lon_0=0)"
converting python dictionary to list,dictlist.append(temp)
"how to flatten a list with various data types (int, tuple)","l = [0, 2, (1, 2), 5, 2, (3, 5)]
list(chain(*(i if isinstance(i, tuple) else (i,) for i in l)))"
how to apply __str__ function when printing a list of objects in python,return 'asd'
is there implementation of git in pure python?,"repo.stage('file.txt')
repo.stage(['other1.txt', 'other2.txt'])"
how to read the header with pycurl,"c = pycurl.Curl()
c.setopt(c.URL, 'http://www.demaziere.fr/eve/')"
how to inherit a class' methods and have them access self member variables in python,"super(Graph, self).__init__()"
initialise numpy array of unknown length,"y = list(range(10))
a = np.array([np.array(list) for _ in y])"
diff two big files in python,"f1 = open('bigfile1')
f2 = open('bigfile2')
b1 = []"
mysql compress() with sqlalchemy,from sqlalchemy.ext.declarative import declarative_base
reading json files from curl in python,"data = response.read()
values = json.loads(data)"
how do i decode unicode one line at a time in python 2.7?,import codecs
django just sort listview by date,"position = models.ManyToManyField(Position)
title = models.CharField(max_length=100)


class Meta:
    ordering = ['-created']"
how to obtain a gaussian filter in python,"array([[0.002969, 0.013306, 0.021938, 0.013306, 0.002969], [0.013306, 
    0.059634, 0.09832, 0.059634, 0.013306], [0.021938, 0.09832, 0.162103, 
    0.09832, 0.021938], [0.013306, 0.059634, 0.09832, 0.059634, 0.013306],
    [0.002969, 0.013306, 0.021938, 0.013306, 0.002969]])"
is it possible to stream output from a python subprocess to a webpage in real time?,"for i in range(5):
    print(i)
sys.stdout.flush()"
how to expand matrix expression in sympy,from sympy import init_session
python dictionary- two keys to each value,"d[1] = c
d[2] = c"
django model group by datetime's date,"from itertools import groupby
entities = Entity.objects.order_by('start_time')
for start_date, group in groupby(entities, key=extract_date):
    pass"
how can i combine range() functions,"for i in (x for x in range(1, 31) if x not in skips):
    pass"
what is the best way to remove a dictionary item by value in python?,"{'Answer': 42, (1): 'egg sandwich', 'foo': 42, (8): 14}"
converting a pandas groupby object to dataframe,"print(df1.groupby(['Name', 'City']).count())
print(df1.groupby(['Name', 'City'])[['Name', 'City']].count())
print(df1.groupby(['Name', 'City']).size().reset_index(name='count'))"
check if numpy array is in list of numpy arrays,"print(is_arr_in_list(mylistarr[2], mylistarr))"
how can you generate a pollpri event on a regular file?,"p = select.poll()
p.register(f, select.POLLPRI | select.POLLERR)"
applying an operation on multiple columns with a fixed column in pandas,4 - 0.958774
json serialize django queryset with values being called. is there anything wrong with my approach?,simplejson.dumps(list(people))
why does tensorflow return [[nan nan]] instead of probabilities from a csv file?,"for i in range(1):
    pass"
numpy - how to outer join arrays,"dfs = [pd.DataFrame.from_records(a) for a in (a1, a2, a3)]"
plotting a pandas dataseries.groupby,"group.plot(x='saleDate', y='MeanToDate', title=str(i))"
python how to kill threads blocked on queue with signals?,"term.daemon = True
term.start()"
python regular expression only matches once,"res = re.sub('\\[\\*\\]', lambda m: next(note), text)
print(res)"
remove common letters in strings,"print(remove_common('Lets chat about code', 'that cave'))
print(remove_common('basdf aa', 'a basd'))
print(remove_common('asdfq', 'asdf'))
print(remove_common('asdf', 'asdfq'))
print(remove_common('aa bb s', 'a bbb'))"
sort a complex python dictionary by just one of its values,"d = {(1): 2, (3): 4}"
convert tab-delimited txt file into a csv file using python,"txt_file = 'mytxt.txt'
csv_file = 'mycsv.csv'
in_txt = csv.reader(open(txt_file, 'rb'), delimiter='\t')
out_csv = csv.writer(open(csv_file, 'wb'))
out_csv.writerows(in_txt)"
how to use the same line of code in all functions?,"def read_file(filename):
    with open(filename, 'r') as f:
        return f.read()

def word_count(filename):
    return len(read_file(filename).split())

def line_count(filename):
    return len(read_file(filename).splitlines())

def character_count(filename):
    return len(read_file(filename))"
unable to log in to asp.net website with requests module of python,r = s.get(URL)
convert strings to int or float in python 3?,from ast import literal_eval
how to stub python methods without mock,"def getDataLength(self):
    return len(self.getData())


class TestClassIWantToTest(unittest.TestCase):

    def testGetDataLength(self):

        def mockGetData(self):
            print('MOCK getData called')
return '1234'"
how to check if multiple characters are in a list?,"combination = '456'
needed = '123'
set(needed) & set(combination)
combination = '156'"
simplest way to return an array that is nested in multiple arrays,"get_nested_list([[[[1, 2], [3]]]])"
how to handle constructors or methods with a different set (or type) of arguments in python?,"Color(**{'r': r, 'g': g, 'b': b})"
deleting key/value from list of dictionaries using lambda and map,"for d in list_of_d:
    pass"
sqlalchemy: re-saving model's unique field after trying to save non-unique value,"try:
    transaction.commit()
except IntegrityError:
    transaction.abort()
session = DBSession()"
"django, ajax populate form with model data","html_string = ''
for course in Courses.objects.all():
    pass"
establishing highest score for a set of combinations,"segment, score = segments[0]"
python: create list of tuples from lists,"y = [4, 5, 6]
zipped = zip(x, y)
zipped"
valueerror: need more than 2 values to unpack in python 2.6.6,"t = do_something()
if len(t) > 2:
    c = t[2]"
how to solve import errors while trying to deploy flask using wsgi on apache2,application = app
how to ensure that a python dict keys are lowercase?,ld['g'] = 'g'
determining running programs in python,"for line in proc.stdout:
    pass"
easiest way to rename a model using django/south?,"class Migration(SchemaMigration):
    pass"
generating python soaplib stubs from wsdl,print('Usage: %s <url>' % sys.argv[0])
trim whitespace using pil,"bg = Image.new(im.mode, im.size, im.getpixel((0, 0)))"
how does one monkey patch a function in python?,bar.do_something_expensive = lambda : 'Something really cheap.'
repeat numpy array without replicating data?,"arr = np.arange(10)
repeated = np.broadcast_to(arr, (1000, arr.size))"
measure website load time with python requests,"nf = urllib.request.urlopen(url)
start = time.time()"
python: delete element from heap,"h.pop()
heapq._siftup(h, i)"
"how do i get the utc time of ""midnight"" for a given timezone?",tz = pytz.timezone('Australia/Melbourne')
python convert pairs list to dictionary,"my_dict = dict(string)
my_dict"
column order in pandas groupby agg function,"from collections import OrderedDict
g = df.groupby(['people'])
g['people'].agg(OrderedDict([('C', len), ('B', len), ('A', len)]))"
recognize images in python,"for sample in image_samples:
    classifications.append(classifier(sample))"
how to wrap a c++ function which takes in a function pointer in python using swig,self.fptr = fptr
argparse option for passing a list as option,"parser.add_argument('-l', '--list', help='delimited list input', type=str)"
strange result when removing item from a list,numbers = [n for n in numbers if n >= 20]
how do i integrate ajax with django applications?,"return HttpResponse(data, **response_kwargs)"
https connection using pem certificate,conn.close()
iterate over a list of images and assign them as variables in python,AtoCIm.append(Image.open(image))
python - how to get high and low envelope of a signal?,"l_p = interp1d(l_x, l_y, kind='cubic', bounds_error=False, fill_value=0.0)"
pass extra values along with urls to scrapy spider,"def parse_page(self, response):
    pass"
post json to python cgi,"import sys, json
result = {'success': 'true', 'message': 'The Command Completed Successfully'}
myjson = json.load(sys.stdin)"
how to perform custom build steps in setup.py?,"if self.old_and_unmanageable or self.single_version_externally_managed:
    ret = _install.run(self)"
parallelize a sequence of generators,"def __iter__(self):
    return self"
how can i read the rgb value of a given pixel in python?,im.save('alive_parrot.png')
practical example of polymorphism,return 'Woof! Woof!'
reading and graphing data read from huge files,q.put(map.readlines(numbytes))
how to add color and asterisk per plot using seaborn pairgird and seaborn barplot,ax1 = fig.add_subplot(131)
extract digits in a simple way from a python string,get_num(orange)
how to debug external .py functions run from jupyter/ipython notebook,import pdb
what is the easiest way to detect key presses in python 3 on a linux machine?,"""""""KEY_F(3)"""""""
find in files using ruby or python,"for dir, subdirs, subfiles in os.walk('c:/docs/2009'):
    for name in fnmatch.filter(subfiles, '*.txt'):
        fn = os.path.join(dir, name)
with open(fn, 'r') as f:
    if regex_search:
        results += [(fn, lineno) for lineno, line in enumerate(f) if p.
            search(line)]"
encoding of headers in mimetext,"msg = MIMEText(body, 'plain', 'utf-8')
msg['Subject'] = Header(subject, 'utf-8')
text = msg.as_string()"
generating pairs from python list,"pairs = [(i, j) for i in range(n) for j in range(i + 1, n)]
from pprint import pprint as pp
pp(pairs, compact=True)
[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (1,
    2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (2, 3), (2,
    4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (3, 4), (3, 5), (3, 6), (3,
    7), (3, 8), (3, 9), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (5, 6), (5,
    7), (5, 8), (5, 9), (6, 7), (6, 8), (6, 9), (7, 8), (7, 9), (8, 9)]"
"calculating user, nice, sys, idle, iowait, irq and sirq from /proc/stat","num_cpu = multiprocessing.cpu_count()
stat_fd = open('/proc/stat')"
"read file with ""variable=value"" (windows ini) format?","config.readfp(open('desiredFile'))
somevar = config.get('label2', 'variable1')"
matplotlib adjust figure margin,"ax = plt.subplot(111, aspect='equal')"
how do you change the sql isolation level from python using mysqldb?,"('foo',), ('bar',)"
in flask convert form post object into a representation suitable for mongodb,"@app.route('/api/v1/account', methods=['POST'])
def create_account():
    """"""Create user account""""""
account_dict = request.form.to_dict()
db.account.insert_one(account_dict)"
how to know values at the same index in 2 lists in python are the same in positive or negative?,"def same_direction(l1, l2):
    return all(x * y > 0 for x, y in zip(l1, l2))"
pythonic and efficient way of finding adjacent cells in grid,"def get_adjacent_cells(self, x_coord, y_coord):
    pass"
return generator instead of list of locations from a 2d array,"def find_dirty_cells(board):
    pass"
